gamesPlayed, groundOuts, airOuts, runs, doubles, triples, homeRuns, strikeOuts, baseOnBalls, intentionalWalks, hits, hitByPitch, avg  , atBats, obp  , slg  , ops  , caughtStealing, stolenBases, stolenBasePercentage, groundIntoDoublePlay, numberOfPitches, plateAppearances, totalBases, rbi , leftOnBase, sacBunts, sacFlies, babip, groundOutsToAirouts, catchersInterference, atBatsPerHomeRun, player_id, play_group, season, gamesStarted, era  , inningsPitched, wins, losses, saves, saveOpportunities, holds, blownSaves, earnedRuns, whip , battersFaced, outs , gamesPitched, completeGames, shutouts, strikes, strikePercentage, hitBatsmen, balks, wildPitches, pickoffs, winPercentage, pitchesPerInning, gamesFinished, strikeoutWalkRatio, strikeoutsPer9Inn, walksPer9Inn, hitsPer9Inn, runsScoredPer9, homeRunsPer9, inheritedRunners, inheritedRunnersScored, player_name                 , team_id, position         , team_name            , team_abbreviation, division               , league
         28,         44,      28,   17,      10,       2,        1,         23,           9,                1,   36,          1, 0.277,    130, 0.326, 0.408, 0.734,              1,           3, .750                ,                    3,             529,                 ,         53,     ,           ,        0,        1,      ,                1.57,                    0,                 ,    669724, pitching  ,   2025,          0.0,  2.84,           31.2,  3.0,    2.0,   0.0,               0.0,   8.0,        0.0,       10.0,  1.42,        141.0,  95.0,         28.0,           0.0,      0.0,   330.0, .620            ,        1.0,   0.0,         0.0,      0.0, .600         ,            16.71,           2.0,               2.56,              6.54,         2.56,       10.23,           4.83,         0.28,             17.0,                    5.0, Brenan Hanifee              ,     116, Pitcher          , Detroit Tigers       , DET              , American League Central, American League
          5,          3,       5,    2,       0,       0,        2,          8,           1,                0,    4,          0, 0.2  ,     20, 0.238, 0.5  , 0.738,              0,           1, 1.000               ,                    0,              91,                 ,         10,     ,           ,        0,        0,      ,                0.60,                    0,                 ,    688158, pitching  ,   2025,          0.0,  3.38,            5.1,  0.0,    1.0,   0.0,               0.0,   0.0,        0.0,        2.0,  0.94,         21.0,  16.0,          5.0,           0.0,      0.0,    65.0, .710            ,        0.0,   0.0,         0.0,      0.0, .000         ,            17.06,           1.0,               8.00,             13.50,         1.69,        6.75,           3.38,         3.38,              2.0,                    2.0, David Morgan                ,     135, Pitcher          , San Diego Padres     , SD               , National League West   , National League
         26,         25,      37,   15,       3,       1,        3,         22,           8,                1,   36,          2, 0.303,    119, 0.354, 0.42 , 0.774,              1,           4, .800                ,                    1,             488,                 ,         50,     ,           ,        0,        1,      ,                0.68,                    0,                 ,    596001, pitching  ,   2025,          0.0,  4.60,           29.1,  1.0,    1.0,   0.0,               0.0,   3.0,        0.0,       15.0,  1.50,        130.0,  88.0,         26.0,           0.0,      0.0,   318.0, .650            ,        2.0,   0.0,         0.0,      0.0, .500         ,            16.64,           1.0,               2.75,              6.75,         2.45,       11.05,           4.60,         0.92,              7.0,                    2.0, Jakob Junis                 ,     114, Pitcher          , Cleveland Guardians  , CLE              , American League Central, American League
         64,         39,      71,   35,      12,       0,       11,         79,          18,                1,   73,          3, 0.279,    262, 0.332, 0.45 , 0.782,              1,           2, .667                ,                    5,            1157,            283.0,        118, 35.0,      102.0,        0,        0, .360 ,                0.55,                    0,            23.82,    663586, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Austin Riley                ,     144, Third Base       , Atlanta Braves       , ATL              , National League East   , National League
         10,         39,      56,   43,      17,       1,        9,         55,          18,                0,   64,          0, 0.308,    208, 0.357, 0.529, 0.886,              0,           4, 1.000               ,                    1,             849,                 ,        110,     ,           ,        2,        4,      ,                0.70,                    0,                 ,    593958, pitching  ,   2025,         10.0,  6.70,           49.2,  1.0,    3.0,   0.0,               0.0,   0.0,        0.0,       37.0,  1.65,        232.0, 149.0,         10.0,           0.0,      0.0,   522.0, .610            ,        0.0,   1.0,         2.0,      0.0, .250         ,            17.09,           0.0,               3.06,              9.97,         3.26,       11.60,           7.79,         1.63,              0.0,                    0.0, Eduardo Rodriguez           ,     109, Pitcher          , Arizona Diamondbacks , AZ               , National League West   , National League
         43,         37,      35,   18,       6,       2,        2,         20,          19,                0,   33,          5, 0.28 ,    118, 0.393, 0.415, 0.808,              0,           1, 1.000               ,                    1,             579,            149.0,         49, 16.0,       47.0,        4,        3, .313 ,                1.06,                    0,            59.00,    669743, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Alex Call                   ,     120, Outfielder       , Washington Nationals , WSH              , National League East   , National League
         64,         65,      74,   42,      11,       0,       14,         51,          23,                2,   73,          8, 0.283,    258, 0.354, 0.488, 0.842,              2,          13, .867                ,                    4,            1172,            294.0,        126, 38.0,       94.0,        0,        5, .298 ,                0.88,                    0,            18.43,    596019, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Francisco Lindor            ,     121, Shortstop        , New York Mets        , NYM              , National League East   , National League
         38,         28,      14,    9,       4,       0,        0,         19,           4,                0,   17,          1, 0.224,     76, 0.272, 0.276, 0.548,              1,           8, .889                ,                    1,             301,             83.0,         21,  4.0,       32.0,        2,        0, .298 ,                2.00,                    0,                 ,    663604, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Brandon Lockridge           ,     135, Outfielder       , San Diego Padres     , SD               , National League West   , National League
         28,         40,      21,   13,       6,       0,        2,         24,          14,                1,   25,          0, 0.229,    109, 0.315, 0.339, 0.654,              0,           3, 1.000               ,                    1,             428,                 ,         37,     ,           ,        0,        1,      ,                1.90,                    0,                 ,    593974, pitching  ,   2025,          0.0,  3.81,           28.1,  3.0,    0.0,   0.0,               1.0,   3.0,        1.0,       12.0,  1.38,        124.0,  85.0,         28.0,           0.0,      0.0,   275.0, .640            ,        0.0,   0.0,         0.0,      0.0, 1.000        ,            15.11,           9.0,               1.71,              7.62,         4.45,        7.94,           4.13,         0.64,             18.0,                    7.0, Wandy Peralta               ,     135, Pitcher          , San Diego Padres     , SD               , National League West   , National League
         60,         55,      92,   28,      10,       1,        7,         29,          20,                3,   54,          2, 0.237,    228, 0.302, 0.382, 0.684,              0,           1, 1.000               ,                    5,             916,            252.0,         87, 32.0,      126.0,        0,        2, .242 ,                0.60,                    0,            32.57,    571448, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Nolan Arenado               ,     138, Third Base       , St. Louis Cardinals  , STL              , National League Central, National League
